,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
25269,1,775170,1,722,4724445,0,0,21614.4,20.8,17,16,0,209437,1757360,0,0
73305,1,775170,0,672,2773468,2,1,30277.07,14.7,0,8,0,145141,274604,0,0
48872,1,775016,0,730,3250995,0,1,38470.25,16.7,7,13,0,383211,528858,0,0
21197,1,774862,1,706,1864166,0,2,25663.49,17,0,9,0,159790,256960,0,0
53279,1,774862,0,713,1835495,0,1,29520.87,20.7,0,16,0,573553,812856,0,0
51460,1,774774,0,743,1854419,0,1,29052.71,17.1,0,16,0,199747,917774,0,0
6975,1,774466,0,679,4395346,0,1,47982.41,17,12,9,0,187359,236830,0,0
79174,1,774400,0,685,1490455,0,1,27697.44,15.2,12,20,0,281295,652718,0,0
11768,1,774158,0,744,2674364,0,0,33652.42,17.1,0,6,0,97508,291720,0,0
48454,1,774158,0,723,2196799,2,4,30755.11,13,10,17,0,277913,812570,0,0
22822,1,774092,0,732,1623569,0,1,35718.29,32.5,0,20,0,776055,2051610,0,0
59138,1,773938,1,678,1489562,2,1,21598.63,8,0,8,0,284848,406692,0,0
65838,1,773938,0,709,7638760,2,1,66202.65,18.7,6,25,4,271871,934076,0,4
4518,1,773850,1,687,3341625,0,0,18490.23,28.7,76,18,2,509143,1694088,1,1
2497,1,773784,0,736,1392624,1,1,29129.09,20,0,9,0,258134,329186,0,0
40116,1,773784,1,661,2004785,0,4,20381.87,16.2,22,9,0,324330,654258,0,0
26466,1,773696,0,706,7636480,0,1,60837.43,13.5,0,14,0,736725,1254484,0,0
36448,1,773630,1,698,2099823,2,1,21348.21,15.6,13,7,0,315723,514866,0,0
38673,1,773476,1,633,1526840,0,1,14250.57,9.3,0,9,0,205333,437866,0,0
37261,1,773168,0,700,3281395,0,1,54416.38,20.5,0,13,0,1778666,2167902,0,0
68760,1,773014,1,679,1716669,0,0,22888.92,27.2,0,7,0,310935,625020,0,0
39794,1,772926,0,684,2097942,2,4,17430.41,14,0,9,0,473651,1192268,0,0
75930,1,772926,0,716,2822678,2,1,50102.62,22.4,28,9,1,79724,128040,1,0
27407,1,772772,0,723,2669576,0,1,46050.11,42.3,0,13,0,756219,19900386,0,0
49493,1,772706,1,599,1735061,2,1,28050.08,23.4,63,12,1,151316,395494,1,0
11775,1,772618,1,646,2097106,1,1,22019.67,15,26,7,1,403769,940698,0,1
11421,1,772552,0,721,2420961,0,1,43577.26,14.6,60,9,0,533444,631554,0,0
32002,1,772464,1,715,1715472,1,0,7133.55,30.2,0,9,0,82536,1073776,0,0
73480,1,772464,0,736,2058574,2,1,29849.19,24.9,36,11,0,185212,1191432,0,0
26419,1,772310,0,716,1867586,2,1,15874.5,16.3,29,5,0,750861,1555312,0,0
31524,1,772310,1,686,1781839,2,1,21634.54,17.7,0,15,0,531563,928334,0,0
45242,1,772310,1,687,3811400,1,1,47324.82,12.9,61,9,0,439242,652894,0,0
70966,1,772310,1,660,1951946,0,1,45708.3,13.3,48,8,0,64030,222640,0,0
63469,1,772244,0,734,2667714,0,1,39571.11,24.5,0,19,0,536123,884268,0,0
21646,1,772156,0,721,2896094,0,1,63231.24,24,0,14,2,2169078,5157218,0,2
59436,1,772156,1,680,4477502,0,1,52535.95,24,0,13,0,818064,1130338,0,0
45532,1,772090,1,597,4762825,1,3,64695,21.4,81,20,0,422332,1635480,0,0
48487,1,772090,1,700,2286156,0,0,28767.52,21.2,11,10,0,1981719,8405210,0,0
30165,1,772002,0,711,1714446,0,1,35717.72,30.8,0,21,0,565535,913308,0,0
64956,1,772002,1,692,2381175,0,1,47623.5,17.5,0,12,0,364021,553850,0,0
65744,1,771958,1,617,1724193,0,1,30029.69,21.9,12,12,0,270674,385968,0,0
12001,1,771936,1,664,2190472,0,1,17833.97,15.2,12,13,1,36879,125576,0,0
51377,1,771936,1,685,2095225,2,1,24444.26,34.9,38,19,0,740430,1576014,0,0
44277,1,771848,0,713,1999788,1,3,17331.42,29.1,49,12,0,632130,1798368,0,0
79201,1,771848,1,722,3809120,0,1,36504.13,22.1,0,8,0,986936,1353990,0,0
83380,1,771848,1,647,1715472,0,1,28162.37,15.6,0,13,0,522785,877272,0,0
43285,1,771782,1,610,2380472,1,3,44236.94,24.8,5,13,0,1986336,5088424,0,0
13882,1,771694,0,713,2875308,0,1,46963.44,16.5,24,14,0,1161033,1859418,0,0
57386,1,771694,1,675,2960998,0,1,34791.85,30.9,0,11,0,559968,730158,0,0
65433,1,771628,1,698,2475187,2,1,31352.47,16.7,0,11,2,870238,1243990,0,2
12846,1,771540,1,668,1732458,0,1,23965.65,16.8,0,17,0,605321,915002,0,0
83824,1,771474,0,726,2093971,0,1,57409.64,31.9,52,12,0,429495,835802,0,0
29893,1,771386,1,691,2855130,2,1,39020.11,13,0,11,0,641782,1109130,0,0
83128,1,771386,1,719,2099481,0,1,29742.41,12.8,0,11,0,1571357,2235222,0,0
22691,1,771232,0,722,1903040,0,1,47258.7,25.1,0,11,0,564167,1386968,0,0
60187,1,771012,1,670,1902470,0,1,22195.61,15.7,5,14,0,428545,544104,0,0
40305,1,770924,0,743,1491386,0,1,18020.93,20.2,0,15,0,418095,1102772,0,0
11580,1,770858,1,705,2853135,2,1,39230.63,22.5,0,10,0,257716,438196,0,0
72856,1,770858,1,716,1940128,0,1,35730.83,22.9,0,7,0,292087,367598,0,0
14329,1,770770,0,745,1730729,0,1,19182.21,44.4,0,8,0,429001,1448194,0,0
55284,1,770770,1,713,1939938,0,1,47043.43,13,6,16,0,138282,637934,0,0
39200,1,770704,0,732,3822439,0,1,81863.78,31.3,0,30,0,1205531,3834842,0,0
65900,1,770616,1,642,2852280,2,3,33514.29,14,60,15,0,319903,8052704,0,0
66956,1,770616,1,629,1559254,1,1,27936.65,25.9,38,11,0,412889,757680,0,0
21588,1,770462,1,738,1235741,2,7,10647.98,20.2,0,5,0,334115,676324,0,0
57347,1,770396,1,709,4942470,0,1,51896.03,18.5,42,12,0,330999,1067550,0,0
66495,1,770374,0,663,4185016,0,0,119621.72,15.2,47,30,0,1182009,1832182,0,0
70794,1,770308,1,687,2566026,0,1,42339.41,16.5,4,9,0,434340,563178,0,0
49929,1,770242,1,720,2280684,0,1,29838.93,30,0,15,0,681511,1906080,0,0
76542,1,770242,1,658,1330399,0,1,24279.72,11.6,0,8,0,272935,338734,0,0
57275,1,770088,1,661,1947690,0,1,43660.86,16.6,0,17,0,912133,2557280,0,0
30312,1,770000,1,585,1995000,2,1,51205,21.1,0,17,0,510416,666292,0,0
41834,1,770000,1,602,2850000,0,1,52725,9.6,25,17,0,254505,420376,0,0
81798,1,770000,1,671,2565000,0,1,73530,26.8,44,25,0,731272,1209626,0,0
82926,1,770000,1,733,2565000,0,1,24367.5,14.8,4,12,0,471694,811558,0,0
2810,1,769934,1,656,1823810,2,1,35108.58,14.8,0,12,0,1153680,1573440,0,0
36849,1,769934,1,632,2279772,0,1,34386.58,12.5,0,12,0,498104,975920,0,0
47351,1,769846,1,622,2089582,0,1,35348.74,28.3,57,20,0,283613,470492,0,0
17469,1,769780,1,738,4748575,2,1,43132.85,32.5,40,7,0,738302,1094610,0,0
37909,1,769780,1,707,2032392,1,0,27437.33,15.4,0,13,0,122322,655732,0,0
19125,1,769692,1,723,2089164,0,1,44046.56,43,70,15,0,465994,914518,0,0
41143,1,769692,1,656,1956221,0,1,20540.33,14,0,6,0,107236,127622,0,0
27669,1,769626,1,695,1899050,0,1,31492.5,14.4,0,14,0,601787,879802,0,0
30760,1,769538,0,733,4101530,2,1,66991.72,14.4,0,10,0,219089,422092,0,0
62548,1,769538,1,703,2506499,2,1,19801.23,14.5,0,11,0,448039,672870,0,0
73931,1,769538,1,671,1993803,2,1,28079.34,16.1,21,20,0,387182,569646,0,0
84090,1,769472,0,733,1872089,0,1,23244.98,14.8,0,8,1,303886,943338,0,1
57051,1,769384,1,653,1803556,0,1,35620.25,7.6,0,7,0,111834,206536,0,0
78670,1,769384,1,660,1898480,2,1,30692.22,12.9,0,17,0,599792,1000714,0,0
82289,1,769384,1,695,3796960,0,4,16959.78,29.6,77,4,0,365560,549692,0,0
11371,1,769362,1,706,2233887,0,0,9847.89,21.9,0,7,0,212914,1018710,0,0
993,1,769230,1,738,2694257,0,1,10081.02,27.1,38,6,0,210349,727056,0,0
3410,1,769164,0,745,1708119,0,1,40994.78,14.1,0,15,0,38494,825330,0,0
22836,0,769164,0,697,2277492,0,1,49345.66,21.6,11,18,0,755402,1273184,0,0
53650,0,769164,0,730,1840967,0,1,26080.54,20.8,0,9,0,679934,1341208,0,0
62056,0,769164,1,677,2562188,0,1,36510.97,22.4,25,8,0,799102,1041964,0,0
18683,0,769076,1,619,2072273,0,1,26766.82,22.5,8,8,0,415511,544852,0,0
28513,0,769010,1,695,1840606,1,4,12592.82,21.4,43,8,1,45657,677732,1,0
42745,0,769010,0,724,2182169,0,1,34187.27,26.3,12,9,0,1218356,1765610,0,0
52830,1,768856,0,717,2276580,2,1,14000.91,9.9,0,7,0,402686,1024782,0,0
36666,1,768768,1,610,2276352,0,4,7777.46,12.5,55,5,0,115273,129602,0,0
15841,1,768702,0,716,1972637,0,1,39124.04,46.2,25,11,0,498560,896412,0,0
79218,1,768702,0,714,2086447,2,1,21907.76,8,0,7,0,411046,676082,0,0
27494,1,768614,1,655,3129357,2,3,20705.82,16.3,0,6,0,824163,1084424,0,0
33547,1,768614,1,707,3034528,1,3,2882.87,16,0,7,0,179626,498762,0,0
53422,1,768614,0,721,1896580,0,1,43305.18,31.5,60,26,0,955909,1652024,0,0
45042,1,768548,0,668,2730794,2,1,27990.8,7.2,0,13,0,668363,1311706,0,0
6504,1,768460,1,694,4266450,0,1,36620.41,8,44,7,1,105526,293700,0,0
18697,1,768460,1,716,2085820,0,1,16651.79,12.8,0,12,0,291346,533786,0,0
34436,1,768394,1,716,1554732,2,1,35888.34,27.2,10,8,0,291422,399322,0,0
71671,1,768394,1,674,3318027,0,0,27290.84,17.4,12,19,0,573591,985424,0,0
16839,1,768306,1,681,2218117,1,1,34935.3,31.1,11,21,0,580336,1349326,0,0
37155,1,768306,1,729,1560261,0,0,12703.21,18.3,0,10,0,228475,1763740,0,0
65080,1,768086,0,724,2842875,2,1,13408.87,25.8,15,4,2,72219,153736,0,2
16979,1,767998,0,706,1724497,0,1,29460.26,37.5,82,12,0,554591,888184,0,0
70538,1,767998,1,689,2747837,0,1,76939.36,29.5,0,10,0,210064,394856,0,0
7174,1,767932,0,724,1589692,0,1,25965.21,19.9,0,7,0,369474,489500,0,0
31912,1,767844,1,650,3505158,0,1,52577.37,39.1,18,19,0,658977,923758,0,0
32983,1,767778,1,680,2273388,2,1,21786.73,14.8,0,8,0,159695,230274,0,0
79910,1,767778,1,698,2178673,0,1,26688.54,12,33,13,2,23484,348722,1,0
60328,1,767690,1,634,1894300,2,1,1483.9,43.4,10,4,0,0,0,0,0
32332,1,767624,0,718,1761528,2,1,37726.02,14,0,13,0,323247,1158784,0,0
12474,1,767536,0,688,1761338,0,1,45061.16,14,59,15,1,466507,807422,1,0
51394,1,767470,1,729,2386096,0,1,24059.89,28.5,26,8,0,192470,569998,0,0
35867,1,767382,1,683,1817806,0,1,17117.67,19.8,0,13,1,515375,1469842,1,0
39845,1,767228,0,675,1325212,0,1,28602.41,19.4,21,14,0,241357,439428,0,0
51651,1,767228,0,710,1987818,0,1,21865.96,12.4,5,26,0,434378,1348468,0,0
